,PID,type2,month,M_ID,q1,q2_a_1,q5,q5_1,q5_2_1,q5_2_2,q5_2_3,q5_2_4,q5_2_5,q5_2_6,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q10_10,q10_11,q10_12,wt,q6_1,q6_1_1,q6_2,q6_6_1,q6_6_2,q6_6_3,q6_6_4,q6_6_5,q6_6_6,q6_6_7,q6_6_8,q6_6_9,q6_6_10,q6_6_11,q6_6_12,q6_6_13,q6_6_14,q6_6_15,q6_6_16,q6_6_17,q6_6_18,q6_6_19,q6_6_20,q6_6_21,q6_7,q6_8,q6_9,q7_2
5714,1122002,1,5,104522,2,5,1,6,,,,,,,4,4,4,4,4,4,4,4,4,9,4,4,6241.966477,938,90,3,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,4,500000
5715,1122002,1,6,104530,1,6,1,38,,,3,,,,3,4,3,9,4,9,4,4,4,4,4,4,6241.966477,911,210,1,,,,,,,,,,,,,13,,,,,,,,,4,4,4,25000
5716,1122002,2,11,116391,2,11,1,10,,,,,,,4,4,4,4,4,9,4,4,4,9,4,4,6241.966477,939,10,3,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,125000
5717,1122202,1,1,105550,1,1,1,40,,,3,,,,4,9,4,9,4,4,4,4,4,4,4,4,2849.668843,934,380,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,60000
5718,1122202,1,4,105556,1,4,1,40,,,3,,,,4,4,4,9,5,4,4,4,4,9,4,4,2849.668843,936,20,1,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,20000
5719,1122202,2,8,105562,1,8,1,40,,,3,,,,5,5,4,9,4,4,4,4,4,9,4,4,2849.668843,938,340,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,26000
5720,1122202,2,9,119270,1,9,1,45,,,3,,,,5,4,4,9,4,4,4,4,4,9,4,4,2849.668843,936,20,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,20000
5721,1122202,2,10,119272,1,10,1,40,,,3,,,,4,4,4,9,4,3,4,4,4,9,4,4,2849.668843,938,380,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,30000
5722,1122202,2,12,119275,1,12,1,40,,,3,,,,5,4,4,9,4,4,4,4,4,9,4,4,2849.668843,937,10,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,40000
5723,1122203,2,8,119266,2,8,1,9,1,,,,,,9,9,4,4,4,9,4,4,4,4,4,4,4838.380538,934,40,2,,,3,,,6,7,,,,,,,,,,,,,,,4,4,4,300000
5724,1122401,1,3,105576,1,3,1,4,,,,,,,4,9,4,9,4,4,4,4,4,4,4,4,6006.759201,934,30,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,80000
5725,1122401,1,4,105588,2,4,1,2,1,,,,,,4,9,4,4,4,9,4,4,4,9,4,4,6006.759201,933,330,2,,,3,,,6,,,,,,,,,,,,,,,21,4,4,4,20000
5726,1122401,1,5,105580,2,5,1,7,1,,,,,,5,4,4,4,5,9,4,4,4,9,4,4,6006.759201,935,20,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,65000
5727,1122401,1,5,105584,2,5,1,2,1,,,,,,4,9,4,4,4,9,4,4,4,9,4,4,6006.759201,933,330,2,,,3,,,6,,,,,,,,,,,,,,,21,4,4,4,10000
5728,1122401,1,6,105591,2,6,1,2,1,,,,,,4,9,4,4,4,9,4,4,4,9,4,4,6006.759201,933,330,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,20000
5729,1122401,2,7,119280,2,7,1,2,1,,,,,,4,9,4,4,4,9,4,4,4,9,4,4,6006.759201,933,330,2,,,3,,,6,,,,,,,,,,,,,,,21,4,4,4,20000
5730,1122401,2,8,119282,2,8,1,2,1,,,,,,4,9,4,4,4,9,4,4,4,9,4,4,6006.759201,933,330,2,,,3,,,6,,,,,,,,,,,,,,,21,4,4,4,20000
5731,1122401,2,10,119277,2,10,1,5,1,,,,,,5,4,4,4,4,4,5,4,4,9,4,4,6006.759201,932,30,2,1,,,,,6,,,,,,,,,,,,,,20,,4,4,4,100000
5732,1122402,1,3,105576,1,3,1,4,,,,,,,4,9,4,9,4,4,4,4,4,4,4,4,5701.597532,934,30,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,80000
5733,1122402,1,5,105580,2,5,1,7,1,,,,,,5,4,4,4,5,9,4,4,4,9,4,4,5701.597532,935,20,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,65000
5734,1122402,2,10,119277,2,10,1,5,1,,,,,,5,4,4,4,4,4,5,4,4,9,4,4,5701.597532,932,30,2,1,,,,,6,,,,,,,,,,,,,,20,,4,4,4,100000
5735,1122504,1,3,105602,2,3,1,10,1,,,,,,4,5,4,5,4,9,4,4,4,9,4,4,6268.407391,911,10,2,,,3,4,,6,,,,,,,,,,,,,,,,4,4,4,40000
5736,1122504,1,6,105605,2,6,1,7,1,,,,,,5,4,5,5,4,4,4,4,4,9,4,4,6268.407391,921,90,2,1,,3,,,6,,,,,,,,,,,,,,,,4,5,4,180000
5737,1122504,2,8,900242,2,8,1,10,1,,,,,,4,5,4,5,4,9,4,4,4,9,4,4,6268.407391,911,10,2,,,3,4,,6,,,,,,,,,,,,,,,,4,4,4,40000
5738,1122504,2,8,900243,2,8,1,7,1,,,,,,5,4,5,5,4,4,4,4,4,9,4,4,6268.407391,921,90,2,1,,3,,,6,,,,,,,,,,,,,,,,4,5,4,180000
5739,1122602,1,3,104930,1,3,1,2,1,,,,,,4,5,3,9,4,9,4,3,3,9,4,3,28005.15278,938,80,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,10000
5740,1122602,1,4,104938,1,4,1,2,1,,,,,,4,4,4,9,4,9,4,4,4,9,4,3,28005.15278,926,310,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,10000
5741,1122602,2,7,116204,1,7,1,3,1,,,,,,4,4,4,9,4,9,4,4,4,9,4,3,28005.15278,932,350,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,50000
5742,1122602,2,8,116214,2,8,1,2,1,,,,,,4,9,3,9,5,9,4,4,4,9,4,4,28005.15278,936,20,2,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,30000
5743,1122602,2,9,116216,1,9,1,2,1,,,,,,4,4,3,9,3,9,3,4,4,9,4,4,28005.15278,926,310,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,12000
5744,1122602,2,11,116219,1,11,1,3,1,,,,,,9,9,4,9,4,4,4,4,3,9,3,3,28005.15278,921,90,1,,,3,,,6,,8,,,,,,,,,,,,,,4,4,4,50000
5745,1122602,2,12,116225,1,12,1,2,1,,,,,,4,9,4,9,4,9,4,4,3,9,4,4,28005.15278,926,30,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,20000
5746,1122701,1,4,105598,1,4,2,0,,,,,,,5,5,4,9,4,4,5,5,5,9,4,5,21087.136,933,320,1,1,,,,,6,,,,,,,13,,,,,,,,,4,5,4,150000
5747,1123001,1,3,110403,1,3,1,3,1,,,,,,4,9,4,9,4,9,4,4,4,9,4,4,66237.97645,933,330,1,1,,3,,,6,,,,,,,,,,,,,,,,3,4,3,50000
5748,1123001,1,5,110404,1,5,1,2,1,,,,,,4,4,4,9,4,9,4,4,4,9,4,4,66237.97645,935,310,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,30000
5749,1123001,2,8,110405,1,8,1,3,1,,,,,,4,4,4,9,4,9,4,4,4,9,4,4,66237.97645,934,360,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,40000
5750,1123002,1,2,106344,1,2,1,3,,,,4,,,4,9,4,9,4,4,4,4,4,9,4,4,60178.45967,934,340,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,0
5751,1123002,2,12,119301,1,12,1,3,,,,4,,,4,9,4,9,4,4,4,4,4,9,4,4,60178.45967,934,30,1,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,35000
5752,1123002,2,12,119302,1,12,1,3,,,,4,,,4,9,4,9,4,4,4,4,4,9,4,4,60178.45967,934,30,1,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,30000
5753,1123402,1,2,102968,1,2,1,4,,,,,,,4,4,4,9,4,4,4,3,3,9,4,4,7032.294062,935,10,1,1,,,4,,,,8,,,,,,,,,,,,,,4,4,4,35000
5754,1123402,2,7,117288,1,7,1,12,1,,,,,,3,3,3,9,3,3,3,3,3,9,3,3,7032.294062,935,320,1,1,2,,,,6,,,,,,,,,,,17,,,,,3,3,3,30000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5757,1123404,1,2,102968,1,2,1,4,,,,,,,4,4,4,9,4,4,4,3,3,9,4,4,7068.801923,935,10,1,1,,,4,,,,8,,,,,,,,,,,,,,4,4,4,35000
5758,1123404,1,3,102970,2,3,1,35,,,3,,,,4,3,4,3,3,9,4,4,4,4,4,4,7068.801923,933,370,3,,,,,,,,,,,,12,,,,,,,19,,,3,3,3,120000
5759,1123404,2,8,900119,2,8,1,35,,,3,,,,4,3,4,3,3,9,4,4,4,4,4,4,7068.801923,933,370,3,,,,,,,,,,,,12,,,,,,,19,,,3,3,3,120000
5760,1123601,1,1,106332,2,1,1,6,,,,,,,9,9,4,5,4,4,4,4,4,9,4,4,8871.137351,911,10,2,,,3,,,6,,8,,,,,,,,,,,,,,4,4,4,400000
5761,1123601,1,3,106339,2,3,1,13,1,,,,,,5,4,4,4,4,4,4,4,4,9,4,4,8871.137351,935,330,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,125000
5762,1123601,1,6,106341,2,6,1,13,1,,,,,,5,9,4,5,4,4,4,4,4,9,4,4,8871.137351,934,380,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,200000
5763,1123601,2,7,119287,2,7,1,6,,,,,,,5,9,4,4,4,4,4,4,4,9,4,4,8871.137351,934,380,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,225000
5764,1123601,2,7,119289,2,7,1,13,1,,,,,,4,4,4,4,4,4,4,4,4,9,4,4,8871.137351,935,330,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,150000
5765,1123602,1,1,106332,2,1,1,6,,,,,,,9,9,4,5,4,4,4,4,4,9,4,4,7229.292196,911,10,2,,,3,,,6,,8,,,,,,,,,,,,,,4,4,4,400000
5766,1123602,1,3,106339,2,3,1,13,1,,,,,,5,4,4,4,4,4,4,4,4,9,4,4,7229.292196,935,330,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,125000
5767,1123602,1,6,106341,2,6,1,13,1,,,,,,5,9,4,5,4,4,4,4,4,9,4,4,7229.292196,934,380,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,200000
5768,1123602,2,7,119287,2,7,1,6,,,,,,,5,9,4,4,4,4,4,4,4,9,4,4,7229.292196,934,380,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,225000
5769,1123602,2,7,119289,2,7,1,13,1,,,,,,4,4,4,4,4,4,4,4,4,9,4,4,7229.292196,935,330,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,150000
5770,1123602,2,11,119299,2,11,1,3,1,,,,,,4,9,4,4,4,4,4,4,3,9,3,4,7229.292196,934,30,2,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,200000
5771,1124004,1,5,107845,1,5,1,2,1,,,,,,5,4,4,9,4,4,4,4,4,9,4,4,6983.415479,936,20,1,1,,3,,,6,,,,,,,,,,,,,,,,4,4,4,200000
5772,1124101,1,4,100293,2,4,1,4,1,,,,,,4,4,3,4,4,9,3,4,4,9,3,3,12026.1316,938,360,2,1,2,,4,,,,,,,,,,,,,,,,,,5,4,5,160000
5773,1124101,1,5,100291,2,5,1,4,1,,,,,,5,4,4,4,4,4,3,4,5,9,3,3,12026.1316,938,50,2,1,2,,,,6,,,,,,,,,,,,,,,,5,4,5,200000
5774,1124101,2,7,113393,1,7,1,4,1,,,,,,3,4,4,9,5,4,3,4,4,9,3,3,12026.1316,926,40,1,1,2,,,,,,,,,,,,,,,,,,20,,4,4,4,90000
5775,1124101,2,8,113386,2,8,1,5,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,12026.1316,938,90,2,,2,,,,6,,,,,,,,,,,17,,,,,4,4,4,73334
5776,1124102,1,5,100296,2,5,1,4,1,,,,,,4,5,4,4,4,9,4,4,5,4,3,4,14179.27984,931,370,2,1,2,,,5,,,,,,,,,,,,,,,,,4,4,4,180000
5777,1124102,2,8,100298,1,8,1,4,1,,,,,,5,5,5,9,4,9,4,3,3,4,4,3,14179.27984,921,90,1,1,2,3,,,,,,,,,,,,,,,,,,,5,5,5,30000
5778,1124102,2,8,113386,2,8,1,5,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,14179.27984,938,90,2,,2,,,,6,,,,,,,,,,,17,,,,,4,4,4,73334
5779,1124102,2,10,113396,1,10,1,3,1,,,,,,5,4,4,9,4,9,4,3,4,9,4,3,14179.27984,938,30,1,1,2,,,,,,,,,11,,,,,,,,,,,5,4,4,90000
5780,1124103,2,8,113386,2,8,1,5,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,13458.92922,938,90,2,,2,,,,6,,,,,,,,,,,17,,,,,4,4,4,73334
5781,1124201,1,4,104924,2,4,1,32,,,3,,,,5,4,4,4,4,9,4,4,4,4,4,4,5219.104144,939,10,3,1,,3,,5,,,,9,,,,,,,,,,,,,5,4,5,440000
5782,1124201,1,5,104935,2,5,1,21,,,3,,,,4,4,4,4,4,9,3,4,4,9,4,4,5219.104144,923,10,1,1,,,4,,,,,9,,,,,,,,,,,,,4,3,4,15000
5783,1124201,1,5,104935,2,5,1,21,,,3,,,,4,4,4,4,4,9,3,4,4,9,4,4,5219.104144,931,100,1,1,,,,,,,,9,,11,,,,,,,,,,,4,4,4,25000
5784,1124201,2,8,113149,2,8,1,7,,,,,,,4,4,4,9,4,3,4,4,4,9,3,3,5219.104144,931,10,4,1,,,4,5,,,,,,,,,,,,,,,,,4,4,4,160000
5785,1124202,1,4,104924,2,4,1,32,,,3,,,,5,4,4,4,4,9,4,4,4,4,4,4,5267.725188,939,10,3,1,,3,,5,,,,9,,,,,,,,,,,,,5,4,5,440000
5786,1124202,1,5,104935,2,5,1,21,,,3,,,,4,4,4,4,4,9,3,4,4,9,4,4,5267.725188,923,10,1,1,,,4,,,,,9,,,,,,,,,,,,,4,3,4,15000
5787,1124202,1,5,104935,2,5,1,21,,,3,,,,4,4,4,4,4,9,3,4,4,9,4,4,5267.725188,931,100,1,1,,,,,,,,9,,11,,,,,,,,,,,4,4,4,25000
5788,1124202,1,5,104954,1,5,1,3,1,,,,,,4,4,3,9,3,9,3,4,3,9,4,3,5267.725188,921,310,1,1,,,,,,,,,,,,13,,,,,,,,,4,4,4,6000
5789,1124202,1,5,104958,1,5,1,4,1,,,,,,4,4,3,9,3,9,3,4,4,9,4,4,5267.725188,926,310,1,1,,,4,,,,,,,,,13,,,,,,,,,4,4,4,6000
5790,1124202,2,8,113149,2,8,1,7,,,,,,,4,4,4,9,4,3,4,4,4,9,3,3,5267.725188,931,10,4,1,,,4,5,,,,,,,,,,,,,,,,,4,4,4,160000
5791,1124301,1,3,101012,1,3,1,3,1,,,,,,4,4,3,9,3,9,3,4,4,9,4,4,3012.741177,926,310,1,1,,,,,,,,,,,,13,,,,,,,,,4,4,4,5000
5792,1124301,2,9,113134,1,9,1,12,,,3,,,,4,5,4,9,4,4,4,4,4,9,4,3,3012.741177,934,310,1,1,,,,,,,,9,,11,,,,,,,,,,,4,4,4,70000
5793,1124301,2,10,113139,1,10,1,12,,,3,,,,5,5,4,9,4,4,4,4,4,9,3,3,3012.741177,932,60,1,1,,,4,,,,,,,,,13,,,,,,,,,5,4,5,60000
5794,1124301,2,11,113144,2,11,1,9,,,,4,,,5,4,4,9,4,4,4,4,4,9,3,3,3012.741177,911,190,3,1,2,,,,,,,9,,,,,,,,,,,,,4,4,4,60000
5795,1124401,1,4,101035,1,4,1,7,,,,,,,5,5,4,9,4,9,4,4,5,9,3,3,3735.674644,937,20,1,1,2,,,,,,,,,,,,,,,,,,,,5,5,5,15000
5796,1124401,1,4,101037,1,4,1,7,,,,,,,4,4,3,9,4,9,3,3,3,9,3,3,3735.674644,926,310,1,1,2,,,,,,,,,11,,,,,,,,,,,4,3,4,30000
5797,1124401,2,7,101040,1,7,1,7,,,,,,,4,3,3,9,4,9,3,3,3,9,3,3,3735.674644,926,30,1,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,25000
5798,1124401,2,10,113146,1,10,1,6,,,,,,,4,4,3,9,4,9,4,4,4,9,4,4,3735.674644,937,360,1,1,2,,,,,,,,,,,13,,,,,,,,,4,3,4,60000
5799,1124401,2,11,113147,1,11,1,6,,,,,,,4,4,4,9,4,5,4,3,4,9,3,3,3735.674644,921,10,1,1,2,,,,,,8,,,,,,,,,,,,,,5,5,5,25000
5800,1124402,1,4,101035,1,4,1,7,,,,,,,5,5,4,9,4,9,4,4,5,9,3,3,3667.399473,937,20,1,1,2,,,,,,,,,,,,,,,,,,,,5,5,5,15000
5801,1124402,1,4,101037,1,4,1,7,,,,,,,4,4,3,9,4,9,3,3,3,9,3,3,3667.399473,926,310,1,1,2,,,,,,,,,11,,,,,,,,,,,4,3,4,30000
5802,1124402,2,7,101040,1,7,1,7,,,,,,,4,3,3,9,4,9,3,3,3,9,3,3,3667.399473,926,30,1,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,25000
5803,1124402,2,10,113146,1,10,1,6,,,,,,,4,4,3,9,4,9,4,4,4,9,4,4,3667.399473,937,360,1,1,2,,,,,,,,,,,13,,,,,,,,,4,3,4,60000
5804,1124402,2,11,113147,1,11,1,6,,,,,,,4,4,4,9,4,5,4,3,4,9,3,3,3667.399473,921,10,1,1,2,,,,,,8,,,,,,,,,,,,,,5,5,5,25000
5805,1124403,1,4,101024,1,4,1,7,,,,,,,5,5,4,9,4,9,4,4,4,9,3,4,15575.05689,937,20,1,1,2,,,,,,,,,,,,,,,,,,,,5,5,5,70000
5806,1124403,1,4,101026,1,4,1,7,,,,,,,4,3,3,9,4,9,3,3,3,9,4,3,15575.05689,926,310,1,1,,,,,,,,,,11,,,,,,,,,,,4,4,4,55000
5807,1124403,2,7,101028,1,7,1,7,,,,,,,4,4,4,9,4,9,3,4,4,9,3,3,15575.05689,926,30,1,1,2,,4,,,,,,,,,,,,,,,,,,4,5,4,60000
5808,1124403,2,10,113606,1,10,1,7,,,,,,,4,5,4,9,4,9,4,4,4,4,4,4,15575.05689,937,360,1,1,2,,,,,,,,,,,13,,,,,,,,,4,3,4,90000
5809,1124403,2,11,113608,1,11,1,7,,,,,,,4,4,4,9,4,5,3,3,4,9,4,3,15575.05689,921,10,1,1,2,,,,,,8,,,,,,,,,,,,,,4,5,4,75000
5810,1124404,1,4,101024,1,4,1,7,,,,,,,5,5,4,9,4,9,4,4,4,9,3,4,16101.30197,937,20,1,1,2,,,,,,,,,,,,,,,,,,,,5,5,5,70000
5811,1124404,1,4,101026,1,4,1,7,,,,,,,4,3,3,9,4,9,3,3,3,9,4,3,16101.30197,926,310,1,1,,,,,,,,,,11,,,,,,,,,,,4,4,4,55000
5812,1124404,2,7,101028,1,7,1,7,,,,,,,4,4,4,9,4,9,3,4,4,9,3,3,16101.30197,926,30,1,1,2,,4,,,,,,,,,,,,,,,,,,4,5,4,60000
5813,1124404,2,10,113606,1,10,1,7,,,,,,,4,5,4,9,4,9,4,4,4,4,4,4,16101.30197,937,360,1,1,2,,,,,,,,,,,13,,,,,,,,,4,3,4,90000
5814,1124404,2,11,113608,1,11,1,7,,,,,,,4,4,4,9,4,5,3,3,4,9,4,3,16101.30197,921,10,1,1,2,,,,,,8,,,,,,,,,,,,,,4,5,4,75000
5815,1124501,1,1,300165,2,1,1,6,,,,,,,5,5,4,5,5,4,5,5,4,5,4,4,5880.803844,938,330,2,1,2,3,,5,,,,,,,,,,,,,,,,,5,5,5,250000
5816,1124501,1,1,300167,1,1,1,6,,,,,,,5,4,4,9,5,9,5,5,4,5,4,4,5880.803844,938,100,1,1,2,3,,5,,,,,,,,,,,,,,,,,5,5,5,40000
5817,1124501,1,2,300168,1,2,1,6,,,,,,,5,5,4,9,4,4,4,4,4,4,4,4,5880.803844,938,400,1,1,,,,5,,,,,,,,,,,,,,,,,4,4,4,45000
5818,1124501,1,3,300439,1,3,1,6,,,,,,,4,5,4,9,4,9,4,4,4,9,4,4,5880.803844,938,80,1,1,2,,4,,,,,,,,,,,,,,,,,,4,4,4,30000
5819,1124501,1,4,301015,2,4,1,6,,,,,,,5,5,5,4,5,4,4,5,5,4,4,4,5880.803844,939,10,3,1,2,,4,,6,,,,,,,,,,,,,,,,5,5,5,750000
5820,1124501,1,6,301018,1,6,1,9,1,,,,,,3,4,3,9,4,4,3,4,4,4,4,4,5880.803844,938,80,1,1,2,,,,,,,9,,,12,,,,,,,,,,4,3,4,50000
5821,1124501,2,8,302849,2,8,1,6,,,,,,,5,5,4,4,4,9,4,4,4,9,3,3,5880.803844,926,310,4,1,,,,,6,,,,,,,,,,,,,,,,4,5,4,250000
5822,1124501,2,8,302851,1,8,1,19,,,,,,,4,4,5,9,4,9,4,4,4,4,4,4,5880.803844,926,30,1,1,,3,,,,,,,,,12,,,,,,,,,,5,5,5,25000
5823,1124502,1,1,300165,2,1,1,6,,,,,,,5,5,4,5,5,4,5,5,4,5,4,4,4792.401206,938,330,2,1,2,3,,5,,,,,,,,,,,,,,,,,5,5,5,250000
5824,1124502,1,1,300167,1,1,1,6,,,,,,,5,4,4,9,5,9,5,5,4,5,4,4,4792.401206,938,100,1,1,2,3,,5,,,,,,,,,,,,,,,,,5,5,5,40000
5825,1124502,1,2,300168,1,2,1,6,,,,,,,5,5,4,9,4,4,4,4,4,4,4,4,4792.401206,938,400,1,1,,,,5,,,,,,,,,,,,,,,,,4,4,4,45000
5826,1124502,1,3,300439,1,3,1,6,,,,,,,4,5,4,9,4,9,4,4,4,9,4,4,4792.401206,938,80,1,1,2,,4,,,,,,,,,,,,,,,,,,4,4,4,30000
5827,1124502,1,4,301015,2,4,1,6,,,,,,,5,5,5,4,5,4,4,5,5,4,4,4,4792.401206,939,10,3,1,2,,4,,6,,,,,,,,,,,,,,,,5,5,5,750000
5828,1124502,1,6,301018,1,6,1,9,1,,,,,,3,4,3,9,4,4,3,4,4,4,4,4,4792.401206,938,80,1,1,2,,,,,,,9,,,12,,,,,,,,,,4,3,4,50000
5829,1124502,2,8,302849,2,8,1,6,,,,,,,5,5,4,4,4,9,4,4,4,9,3,3,4792.401206,926,310,4,1,,,,,6,,,,,,,,,,,,,,,,4,5,4,250000
5830,1124502,2,8,302851,1,8,1,19,,,,,,,4,4,5,9,4,9,4,4,4,4,4,4,4792.401206,926,30,1,1,,3,,,,,,,,,12,,,,,,,,,,5,5,5,25000
5831,1124601,1,1,104876,1,1,1,4,1,,,,,,4,3,4,9,5,9,3,4,5,9,3,4,7840.32178,926,40,1,1,2,,,,,,,,,,,,,,,,,,,,4,4,4,35000
5832,1124601,2,10,113659,1,10,1,4,1,,,,,,3,3,4,9,4,4,3,3,4,9,4,4,7840.32178,926,310,1,1,2,,,,,,8,,,,,,,,,,,,,,4,4,4,80000
5833,1124601,2,12,113660,1,12,1,4,1,,,,,,4,3,4,9,5,4,3,3,5,9,4,4,7840.32178,926,40,1,1,2,,,,,,8,,,,,,,,,,,,,,4,4,4,80000
5834,1124701,1,5,101019,1,5,1,4,1,,,,,,4,5,4,9,3,9,3,4,4,9,4,3,9737.339796,938,400,1,1,,,,,,,,,,,,13,,,,,,,,,4,5,4,20000
5835,1124701,1,6,101020,1,6,1,3,1,,,,,,4,4,3,9,3,9,3,4,4,9,4,4,9737.339796,926,310,1,1,,,,,,,,,,,,13,,,,,,,,,4,4,4,10000
5836,1124701,2,9,113158,1,9,1,4,1,,,,,,5,5,4,9,3,9,4,4,3,4,4,3,9737.339796,938,400,1,1,,,4,,,,,,,,,13,,,,,,,,,4,5,4,20000
5837,1124701,2,11,113164,1,11,1,5,1,,,,,,5,5,4,9,3,4,4,4,3,4,4,3,9737.339796,938,400,1,1,,,4,,,,,,,,,13,,,,,,,,,4,5,4,30000
5838,1124901,1,5,100308,1,5,1,25,,,3,,,,3,4,4,9,3,9,3,4,4,9,4,4,3405.59668,911,30,1,,,,,,,,,9,,,12,,,,,,,,,,3,5,3,20000
5839,1125201,1,4,100312,2,4,1,3,1,,,,,,4,4,3,5,4,9,3,4,5,9,3,4,8712.947955,932,60,2,1,2,,4,,,,,,,,,,,,,,,,,,4,4,4,200000
5840,1125201,1,5,100313,1,5,1,2,1,,,,,,4,4,3,9,4,9,3,4,3,9,4,4,8712.947955,935,10,1,1,,,4,,,,,,,,,,,,,,,,,,3,2,3,100000
5841,1125201,2,7,900013,2,7,1,3,1,,,,,,4,4,3,5,4,9,3,4,5,9,3,4,8712.947955,932,60,2,1,2,,4,,,,,,,,,,,,,,,,,,4,4,4,200000
5842,1125201,2,8,113025,1,8,2,0,,,,,,,3,4,4,9,4,9,4,4,4,9,4,3,8712.947955,911,230,1,,,,,,,,,,,,12,,,,,,,,,21,3,5,3,130000
5843,1125201,2,8,113033,1,8,2,0,,,,,,,4,4,4,9,4,9,4,4,4,9,4,4,8712.947955,911,230,1,,,,,,,,,,,,12,,,,,17,,,,21,3,5,3,130000
5844,1125401,1,5,100379,1,5,1,4,1,,,,,,4,4,4,9,4,9,3,4,4,3,3,3,11320.98043,926,20,1,1,,,,,,,,9,,11,,,,,,,,,,,4,4,4,32000
5845,1125401,2,8,113564,2,8,1,11,,,,,,,5,4,4,5,4,9,4,5,5,9,4,4,11320.98043,937,20,3,1,2,,,,6,,,,,,,,,,,,,,,,5,4,4,220000
5846,1125401,2,10,113566,1,10,1,4,1,,,,,,3,3,4,9,5,4,3,4,4,9,3,4,11320.98043,926,40,1,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,90000
5847,1125401,2,10,113567,1,10,1,4,1,,,,,,5,4,3,9,4,9,3,3,4,9,3,2,11320.98043,921,90,1,1,2,,,,,,,,,11,,,,,,,,,,,5,4,5,50000
5848,1125402,2,8,113564,2,8,1,11,,,,,,,5,4,4,5,4,9,4,5,5,9,4,4,9570.150868,937,20,3,1,2,,,,6,,,,,,,,,,,,,,,,5,4,4,220000
5849,1125402,2,10,113568,2,10,1,4,1,,,,,,4,4,4,4,4,9,3,4,5,4,4,4,9570.150868,936,20,2,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,250000
5850,1125402,2,10,113569,1,10,1,4,1,,,,,,5,4,4,9,4,9,4,3,3,4,4,3,9570.150868,938,30,1,1,2,,,,,,,,,11,,,,,,,,,,,5,4,5,100000
5851,1125501,1,5,301812,2,5,1,15,1,,,,,,5,5,4,4,4,9,3,4,4,4,4,4,4973.170892,932,390,2,1,,3,,,6,,,,,,,,,,,,,,,,5,5,5,180000
5852,1125502,1,2,300175,1,2,2,0,,,,,,,5,5,4,9,4,9,3,3,3,9,4,3,4720.518658,922,20,1,1,,,4,,,,,,,,,13,,,,,,,,,5,5,5,20000
5853,1125502,1,5,301815,2,5,1,25,,,3,,,,5,5,3,4,4,9,3,4,4,4,4,3,4720.518658,932,390,2,,,,4,,,,,,,,,13,,,,,,,,,5,4,5,120000
5854,1125502,1,6,301816,1,6,1,24,,,3,,,,5,5,4,9,4,9,4,4,4,4,4,4,4720.518658,933,380,1,1,,,4,,,,,,,,,13,,,,,,,,,5,5,5,70000
