,PID,type2,month,M_ID,q1,q2_a_1,q5,q5_1,q5_2_1,q5_2_2,q5_2_3,q5_2_4,q5_2_5,q5_2_6,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q10_10,q10_11,q10_12,wt,q6_1,q6_1_1,q6_2,q6_6_1,q6_6_2,q6_6_3,q6_6_4,q6_6_5,q6_6_6,q6_6_7,q6_6_8,q6_6_9,q6_6_10,q6_6_11,q6_6_12,q6_6_13,q6_6_14,q6_6_15,q6_6_16,q6_6_17,q6_6_18,q6_6_19,q6_6_20,q6_6_21,q6_7,q6_8,q6_9,q7_2
26,1000602,2,8,123027,1,8,1,4,,,,,,,3,9,3,9,3,3,3,3,3,9,3,3,13817.77317,911,240,1,,,,,5,,,,,,,,,,,,,,,,,3,3,3,30000
27,1000602,2,9,123028,1,9,1,4,,,,,,,3,9,4,9,5,4,4,4,4,9,4,4,13817.77317,911,240,1,,,,,5,,,,,,,,,,,,,,,,,3,3,3,30000
28,1000602,2,10,123029,1,10,1,4,,,,,,,3,9,3,9,3,3,3,3,3,9,3,3,13817.77317,911,240,1,,,,,5,,,,,,,,,,,,,,,,,3,3,3,30000
29,1000602,2,11,123030,1,11,1,4,,,,,,,3,9,3,9,3,9,3,3,3,9,3,3,13817.77317,911,240,1,,,,,5,,,,,,,,,,,,,,,,,3,3,3,30000
30,1000701,2,7,121445,2,7,1,4,,,,4,,,4,4,4,4,4,3,3,4,4,3,4,4,4648.669317,937,350,3,1,2,,,,,,,,,,,,,,,17,,,,,4,4,4,70000
31,1000701,2,7,121451,2,7,1,4,,,,4,,,4,4,4,5,4,3,3,4,4,3,4,4,4648.669317,932,40,2,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,80000
32,1000801,1,5,110393,1,5,1,2,1,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,39216.02285,911,20,1,1,2,,,5,,,,,,,,,,,,,,,,,4,4,4,25000
33,1000901,1,1,110802,2,1,1,14,,,3,,,,3,3,3,4,3,3,3,3,3,9,3,3,11959.27424,932,60,2,1,,3,,,,,,,,,,,,,,,,,,,3,3,3,175000
34,1000901,2,10,123598,2,10,1,13,,,3,,,,4,4,4,4,4,4,4,4,4,9,4,4,11959.27424,931,380,2,,,3,,,,,,,10,,,,,,,,,,,,3,4,3,40000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
