PID	M_ID	nature	traffic	food	info	facility	kind	total	loc_code	money	age	age_group	money_group	label_group	a_c
1160102	121123	4	3	4	4	3	4	4	932030	8333	79	5	1	13	강원 강릉시
1162904	123079	4	4	4	4	4	4	4	932030	50000	20	2	2	5	강원 강릉시
1163603	123017	5	5	4	5	5	4	5	932030	62500	17	1	2	2	강원 강릉시
1165001	116452	5	4	4	4	4	4	4	932030	65000	73	5	2	14	강원 강릉시
1168001	300893	5	4	4	4	4	4	4	932030	62500	44	3	2	8	강원 강릉시
1168002	300893	5	4	4	4	4	4	4	932030	62500	45	3	2	8	강원 강릉시
1168003	300893	5	4	4	4	4	4	4	932030	62500	20	2	2	5	강원 강릉시
1168004	300893	5	4	4	4	4	4	4	932030	62500	16	1	2	2	강원 강릉시
1168402	121205	5	3	4	4	4	3	4	932030	75000	42	3	2	8	강원 강릉시
1172105	119891	4	4	4	4	4	4	4	932030	75000	20	2	2	5	강원 강릉시
1172401	120049	4	4	4	4	4	4	4	932030	52500	54	4	2	11	강원 강릉시
1172402	120049	4	4	4	4	4	4	4	932030	52500	50	4	2	11	강원 강릉시
1172403	120049	4	4	4	4	4	4	4	932030	52500	22	2	2	5	강원 강릉시
1172404	120049	4	4	4	4	4	4	4	932030	52500	20	2	2	5	강원 강릉시
1173201	121353	4	4	3	4	3	3	4	932030	100000	56	4	3	12	강원 강릉시
1173202	121353	4	4	3	4	3	3	4	932030	100000	55	4	3	12	강원 강릉시
1173204	121353	4	4	3	4	3	3	4	932030	100000	24	2	3	6	강원 강릉시
1173603	119544	5	4	4	3	4	3	4	932030	60000	20	2	2	5	강원 강릉시
1178204	108217	4	4	4	4	4	4	4	932030	60000	19	1	2	2	강원 강릉시
1178401	117425	5	3	4	4	4	4	5	932030	25000	62	5	1	13	강원 강릉시
1178402	117425	5	3	4	4	4	4	5	932030	25000	61	5	1	13	강원 강릉시
1178501	117558	5	3	4	4	4	4	5	932030	50000	75	5	2	14	강원 강릉시
1178502	117558	5	3	4	4	4	4	5	932030	50000	72	5	2	14	강원 강릉시
1178801	117669	5	3	4	4	4	4	5	932030	50000	75	5	2	14	강원 강릉시
1178802	117669	5	3	4	4	4	4	5	932030	50000	71	5	2	14	강원 강릉시
1178903	118172	4	4	4	4	4	4	4	932030	100000	34	3	3	9	강원 강릉시
1179004	117581	5	3	4	4	4	4	5	932030	100000	26	2	3	6	강원 강릉시
1179201	117586	5	4	4	4	4	4	5	932030	50000	70	5	2	14	강원 강릉시
1179202	117586	5	4	4	4	4	4	5	932030	50000	66	5	2	14	강원 강릉시
1180104	109008	4	4	4	4	4	4	4	932030	100000	41	3	3	9	강원 강릉시
1180104	118139	4	4	4	4	4	4	5	932030	150000	41	3	3	9	강원 강릉시
1180202	103683	5	3	4	5	4	4	5	932030	50000	57	4	2	11	강원 강릉시
1180601	118252	4	4	5	3	3	3	4	932030	50000	84	6	2	17	강원 강릉시
1180602	118252	4	4	5	3	3	3	4	932030	50000	79	5	2	14	강원 강릉시
1180801	118258	4	3	4	3	3	4	4	932030	87500	61	5	2	14	강원 강릉시
1180802	118258	4	3	4	3	3	4	4	932030	87500	56	4	2	11	강원 강릉시
