,PID,q6_1,q6_1_1,,new
214,1005102,932,60,060,932060
215,1005103,931,380,380,931380
216,1005104,932,30,030,932030
217,1005104,932,30,030,932030
218,1005105,931,380,380,931380
219,1005201,938,350,350,938350
220,1005202,938,350,350,938350
221,1005301,925,30,030,925030
222,1005301,931,210,210,931210
223,1005301,931,10,010,931010
224,1005302,932,30,030,932030
225,1005302,925,30,030,925030
226,1005302,934,380,380,934380
227,1005302,931,10,010,931010
228,1005302,911,90,090,911090
229,1005302,911,220,220,911220
230,1005501,933,10,010,933010
231,1005502,933,10,010,933010
232,1005503,923,40,040,923040
233,1005503,923,40,040,923040
234,1005503,936,20,020,936020
235,1005503,932,320,320,932320
236,1005602,921,90,090,921090
237,1005603,921,90,090,921090
238,1005604,921,90,090,921090
239,1005604,921,50,050,921050
240,1005604,921,90,090,921090
241,1005605,921,90,090,921090
242,1005801,933,370,370,933370
243,1005801,931,210,210,931210
244,1005801,931,210,210,931210
245,1005802,931,270,270,931270
246,1005802,933,370,370,933370
247,1005802,931,210,210,931210
248,1005802,931,210,210,931210
249,1005802,931,320,320,931320
250,1006102,923,320,320,923320
251,1006102,931,380,380,931380
252,1006102,931,180,180,931180
253,1006102,934,30,030,934030
254,,,,000,000
255,1006103,936,380,380,936380
256,1006201,934,50,050,934050
257,1006201,939,20,020,939020
258,1006201,932,10,010,932010
259,1006202,934,50,050,934050
260,1006202,932,350,350,932350
261,1006202,939,20,020,939020
262,1006202,932,10,010,932010
263,1006203,911,240,240,911240
264,1006203,932,10,010,932010
265,1006204,911,240,240,911240
266,1006204,921,20,020,921020
267,1006204,932,310,310,932310
268,,,,000,000
269,1006204,932,30,030,932030
270,1006204,932,10,010,932010
271,1006205,911,240,240,911240
272,1006205,931,370,370,931370
273,1006205,932,10,010,932010
274,1006205,935,10,010,935010
275,1006205,937,20,020,937020
276,1006205,936,310,310,936310
277,1006205,932,10,010,932010
278,1006301,937,310,310,937310
279,1006301,931,380,380,931380
280,1006301,933,30,030,933030
281,1006301,934,60,060,934060
282,1006401,925,50,050,925050
283,1006402,931,380,380,931380
284,1006402,925,50,050,925050
285,1006403,925,50,050,925050
286,1006403,925,50,050,925050
287,1006403,925,50,050,925050
288,1006403,925,50,050,925050
289,1006405,925,50,050,925050
290,1006405,925,50,050,925050
291,1006405,925,50,050,925050
292,1006405,925,50,050,925050
293,1006501,934,310,310,934310
294,1006601,932,340,340,932340
295,1006601,937,420,420,937420
296,1006601,931,80,080,931080
297,1006601,931,80,080,931080
298,,,,000,000
299,1006601,939,20,020,939020
300,1006701,931,80,080,931080
301,1006801,932,340,340,932340
302,1006801,931,370,370,931370
303,1006801,932,340,340,932340
304,1006801,931,250,250,931250
305,1006801,911,130,130,911130
306,1006801,933,30,030,933030
307,1006801,932,50,050,932050
308,1006801,937,410,410,937410
309,1006802,932,340,340,932340
310,1006802,931,370,370,931370
311,1007101,931,380,380,931380
312,1007101,923,10,010,923010
313,1007101,932,350,350,932350
314,1007101,931,80,080,931080
315,1007201,932,360,360,932360
316,1007201,932,400,400,932400
317,1007201,937,20,020,937020
318,1007201,923,310,310,923310
319,1007202,931,140,140,931140
320,1007202,923,310,310,923310
321,1007401,932,10,010,932010
322,1007401,931,140,140,931140
323,1007401,932,10,010,932010
324,1007401,931,350,350,931350
325,1007401,932,60,060,932060
326,1007401,931,130,130,931130
327,1007402,933,350,350,933350
328,1007402,931,270,270,931270
329,1007402,932,340,340,932340
330,1007501,931,370,370,931370
331,1007501,911,20,020,911020
332,1007501,911,70,070,911070
333,,,,000,000
334,,,,000,000
335,1007502,931,370,370,931370
336,1007502,932,310,310,932310
337,1007502,911,20,020,911020
338,1007502,911,70,070,911070
339,,,,000,000
340,,,,000,000
341,1007502,931,260,260,931260
342,1007502,911,20,020,911020
343,1007601,937,40,040,937040
344,,,,000,000
345,1007602,937,40,040,937040
346,1007602,937,60,060,937060
347,,,,000,000
348,1007602,923,310,310,923310
349,1007603,937,40,040,937040
350,1007603,931,110,110,931110
351,1007701,931,210,210,931210
352,,,,000,000
353,1007701,936,30,030,936030
354,1007701,921,90,090,921090
355,1007701,937,360,360,937360
356,,,,000,000
357,,,,000,000
358,1007701,923,310,310,923310
359,1007702,931,210,210,931210
360,,,,000,000
361,1007702,936,30,030,936030
362,1007702,921,90,090,921090
363,1007702,937,360,360,937360
364,,,,000,000
365,,,,000,000
366,1007702,923,310,310,923310
367,1007801,931,270,270,931270
368,1007801,911,100,100,911100
369,1007801,931,120,120,931120
370,1007801,931,130,130,931130
371,1007801,931,130,130,931130
372,,,,000,000
373,1007802,911,100,100,911100
374,1007802,931,120,120,931120
375,1007802,931,130,130,931130
376,1007802,923,10,010,923010
377,1007802,931,380,380,931380
378,1007803,921,90,090,921090
379,1007803,932,60,060,932060
380,1007804,921,90,090,921090
381,1007804,932,60,060,932060
382,1007902,911,20,020,911020
383,1007902,932,10,010,932010
384,1007902,931,70,070,931070
385,1007902,923,50,050,923050
386,1007902,931,150,150,931150
387,1007902,931,130,130,931130
388,1007902,911,50,050,911050
389,1008001,911,100,100,911100
390,1008001,931,350,350,931350
391,1008002,911,140,140,911140
392,1008002,934,40,040,934040
393,1008002,923,30,030,923030
394,1008002,911,100,100,911100
395,1008002,931,150,150,931150
396,1008002,911,140,140,911140
397,1008002,932,340,340,932340
398,1008002,931,80,080,931080
399,1008002,926,20,020,926020
400,1008002,931,370,370,931370
401,1008002,931,380,380,931380
402,1008101,923,50,050,923050
403,1008101,923,80,080,923080
404,1008101,911,10,010,911010
405,1008101,932,30,030,932030
406,1008102,911,10,010,911010
