PID,M_ID,q6_1,q6_1_1
1006601,110814,931,80
1006601,123381,939,20
1006701,123645,931,80
1006801,110869,932,340
1006801,110869,931,370
1006801,110868,932,340
1006801,123577,931,250
1006801,123578,911,130
1006801,123579,933,30
1006801,123579,932,50
1006801,123579,937,410
1006802,110869,932,340
1006802,110869,931,370
1007101,110887,931,380
1007101,123606,923,10
1007101,123609,932,350
1007101,123610,931,80
1007201,100745,932,360
1007201,100746,932,400
1007201,116841,937,20
1007201,116846,923,310
1007202,100748,931,140
1007202,116849,923,310
1007401,110579,932,10
1007401,110581,931,140
1007401,123702,932,10
1007401,123703,931,350
1007401,123704,932,60
1007401,123705,931,130
1007402,110889,933,350
1007402,110890,931,270
1007402,123706,932,340
1007501,110892,931,370
1007501,110896,911,20
1007501,110898,911,70
1007502,110892,931,370
1007502,110895,932,310
1007502,110896,911,20
1007502,110898,911,70
1007502,123732,931,260
1007502,123739,911,20
1007601,110935,937,40
1007602,110935,937,40
1007602,110936,937,60
1007602,123691,923,310
1007603,110935,937,40
1007603,110937,931,110
1007701,110940,931,210
1007701,110941,936,30
1007701,110941,921,90
1007701,110941,937,360
1007701,123653,923,310
1007702,110940,931,210
1007702,110941,936,30
1007702,110941,921,90
1007702,110941,937,360
1007702,123653,923,310
1007801,110946,931,270
1007801,123692,911,100
1007801,123693,931,120
1007801,123696,931,130
1007801,123698,931,130
1007802,123692,911,100
1007802,123693,931,120
1007802,123696,931,130
1007802,123700,923,10
1007802,123699,931,380
1007803,114949,921,90
1007803,114950,932,60
1007804,114949,921,90
1007804,114950,932,60
1007902,110952,911,20
1007902,110953,932,10
1007902,123567,931,70
1007902,123570,923,50
1007902,123570,931,150
1007902,123572,931,130
1007902,123574,911,50
1008001,123656,911,100
1008001,123657,931,350
1008002,123668,911,140
1008002,123669,934,40
1008002,123670,923,30
1008002,123672,911,100
1008002,123673,931,150
1008002,123674,911,140
1008002,123675,932,340
1008002,123676,931,80
1008002,123678,926,20
1008002,123679,931,370
1008002,123680,931,380
1008101,123640,923,50
1008101,123641,923,80
1008101,123637,911,10
1008101,123639,932,30
1008102,123637,911,10
1008102,123639,932,30
1008201,123332,937,90
1008201,123332,933,380
1008202,123332,937,90
1008202,123332,933,380
1008301,110967,937,380
1008301,110964,939,20
1008301,123631,937,40
1008301,123632,931,380
1008301,123634,937,330
1008302,110964,939,20
1008302,123635,932,30
1008401,110911,923,10
1008401,110923,923,10
1008401,110925,931,220
1008401,110927,931,200
1008401,123620,931,380
1008401,123621,937,90
1008401,123623,911,20
1008401,123625,911,90
1008402,110911,923,10
1008402,110915,931,370
1008402,110923,923,10
1008402,110925,931,220
1008402,110927,931,200
1008402,123620,931,380
1008402,123621,937,90
1008402,123623,911,20
1008402,123625,911,90
1008402,123626,911,10
1008403,110911,923,10
1008403,110923,923,10
1008403,110927,931,200
1008403,123620,931,380
1008403,123621,937,90
1008403,123623,911,20
1008403,123626,911,10
1008404,110923,923,10
1008404,123620,931,380
1008404,123621,937,90
1008404,123623,911,20
1008404,123626,911,10
1008501,121505,932,350
1008502,121505,932,350
1008504,121514,932,10
1008601,106859,932,310
1008601,106867,931,130
1008601,122604,932,310
1008601,122605,932,60
1008602,106875,934,380
1008602,106879,931,10
1008602,106859,932,310
1008602,106867,931,130
1008602,122604,932,310
1008602,122605,932,60
1008602,122608,935,10
1008602,122609,932,30
1008603,106867,931,130
1008603,122610,932,390
1008604,122611,921,90
1008801,106441,932,340
1008801,106443,931,270
1008801,118694,932,340
1008802,106441,932,340
1008802,106443,931,270
1008802,118694,932,340
1008901,104045,932,410
1008901,104048,932,310
1008901,116776,933,360
1008902,104045,932,410
1008902,104048,932,310
1008902,116776,933,360
1009601,106457,911,10
1009601,118740,911,10
1009901,107200,931,260
1009902,107200,931,260
1009902,118108,938,30
1010001,106895,937,100
1010101,105516,937,40
1010101,105521,939,10
1010101,119161,932,400
1010102,105516,937,40
1010102,105521,939,10
1010102,119161,932,400
1010201,106465,932,30
1010201,106467,922,70
1010201,118650,921,90
1010202,106470,932,310
1010202,106465,932,30
1010202,106467,922,70
1010202,118650,921,90
1010501,118441,935,10
1010501,118445,933,380
1010502,106886,934,380
1010502,118441,935,10
1010502,118445,933,380
1010503,118441,935,10
1010503,118445,933,380
1010701,107040,934,40
1010701,107042,923,320
1010701,120404,934,40
1010702,107040,934,40
1010702,107043,931,370
1010702,107047,931,370
1010702,120404,934,40
1010801,107033,937,420
1010801,118077,932,370
1010802,107033,937,420
1010802,107036,933,320
1010802,118077,932,370
1010802,118088,933,320
1010803,107033,937,420
1010803,118077,932,370
1010901,103875,937,10
1010901,120380,937,90
1010901,120389,937,10
1010902,103875,937,10
1010902,103877,931,20
1010902,103876,931,380
1010902,120380,937,90
1010902,120389,937,10
1010903,103875,937,10
1010903,103876,931,380
1010903,120380,937,90
1011001,106899,911,10
1011102,102067,923,310
1011102,102068,931,350
1011102,120330,932,60
1011103,102063,932,30
1011103,900077,932,30
1011103,120319,932,60
1011103,120322,932,60
1011201,102875,923,320
1011201,117155,932,340
1011201,117158,931,380
1011201,117162,931,120
1011201,117167,911,50
1011202,102875,923,320
1011202,117155,932,340
1011202,117158,931,380
1011202,117162,931,120
1011202,117167,911,50
1011301,102081,931,270
1011301,102084,931,260
1011301,102087,931,120
1011301,102073,931,380
1011301,102091,931,380
1011301,102097,931,260
1011301,102092,931,320
1011301,102094,932,390
1011301,120339,931,130
1011301,120340,933,360
1011301,120341,931,350
1011301,120342,931,100
1011301,102070,931,270
1011301,120344,936,400
1011301,120348,931,370
1011301,120352,923,310
1011301,120355,923,310
1011302,102098,923,310
1011302,102073,931,380
1011302,102099,934,10
1011302,120356,935,340
1011302,102070,931,270
1011302,120359,936,380
1011302,120361,931,130
1011302,120366,931,250
1011302,120373,935,310
1011303,102073,931,380
1011303,102070,931,270
1011304,102100,932,10
1011304,102101,931,320
1011304,102073,931,380
1011304,102070,931,270
1011501,120308,937,20
1011502,120308,937,20
1011503,102066,932,60
1011503,900079,932,60
1011504,120314,932,60
1011701,102064,932,340
1011701,900078,932,340
1011801,102058,938,50
1011801,120266,911,50
1011802,102058,938,50
1011802,120266,911,50
1011901,102062,934,80
1011901,120318,934,10
1011902,102062,934,80
1011902,120318,934,10
1011903,102062,934,80
1011903,120318,934,10
1012201,109809,923,70
1012201,109811,934,60
1012201,109815,932,320
1012201,121368,934,20
1012202,109809,923,70
1012202,109811,934,60
1012202,109815,932,320
1012202,121368,934,20
1012401,103065,932,60
1012401,103066,932,30
1012402,103065,932,60
1012402,103066,932,30
1012403,103065,932,60
1012403,103066,932,30
1012701,122006,936,330
1012701,122010,931,380
1012702,103639,931,200
1012702,103643,911,190
1012702,103648,939,20
1012702,103654,931,190
1012702,122006,936,330
1012702,122010,931,380
1012702,122012,911,240
1012801,103063,936,450
1012801,103058,931,210
1012801,103060,931,320
1012801,900126,936,450
1012801,119326,931,210
1012802,103058,931,210
1012802,103060,931,320
1012802,119326,931,210
1012802,119332,931,190
1012901,103045,938,90
1012901,103050,926,20
1012902,103045,938,90
1012902,103050,926,20
1013001,103091,931,130
1013001,120428,931,370
1013001,120429,931,370
1013002,103091,931,130
1013002,103092,932,310
1013002,120428,931,370
1013002,120429,931,370
1013003,103091,931,130
1013003,120428,931,370
1013003,120430,931,270
1013003,120429,931,370
1013201,109794,932,30
1013201,109801,934,80
1013201,109805,932,60
1013201,109807,932,410
1013201,121366,932,60
1013201,121367,931,370
1013202,109794,932,30
1013202,109801,934,80
1013202,109805,932,60
1013202,121366,932,60
1013202,121367,931,370
1013203,109794,932,30
1013203,109801,934,80
1013203,109805,932,60
1013203,121366,932,60
1013204,109794,932,30
1013204,109801,934,80
1013204,109805,932,60
1013204,121366,932,60
1013301,103089,936,60
1013301,121716,921,90
1013302,103089,936,60
1013302,103090,932,380
1013302,121716,921,90
1013601,110413,934,380
1013601,121723,931,370
1013602,110413,934,380
1013602,121723,931,370
1013603,110413,934,380
1013603,121723,931,370
1013604,110413,934,380
1013604,121723,931,370
1013701,106869,934,380
1013701,118038,921,100
1013702,106869,934,380
1013702,118038,921,100
1013703,106869,934,380
1013703,118038,921,100
1013801,120398,931,370
1013802,106463,931,380
1013802,120398,931,370
1013901,102364,939,20
1013902,102364,939,20
1013903,114863,932,10
1013903,114863,931,370
1014001,103086,934,380
1014001,103087,931,380
1014002,103086,934,380
1014002,103087,931,380
1014002,103088,936,310
1014102,123760,931,130
1014201,102908,936,20
1014202,102908,936,20
1014203,102908,936,20
1014203,123765,934,310
1014204,102908,936,20
1014204,123766,932,30
1014205,102908,936,20
1014301,120284,932,60
1014301,120285,932,40
